assets             资源、资产
views              视图、界面
express           快速、急速
application     应用程序（缩写：app）
listen              听、监听
method          方法
Routing          路由
handler           处理
virtual             虚拟
connection     连接
query              执行、查询
middle            中间、中部
ware               制品、商品、器件
middleware     中间件
watching        监视
static              静态的
compression   压缩
render             渲染
